Sample	SAMPLE_NAME	MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT
X221780-GM2211534-1-TWE-F-EGG4_FR	X221780-GM2211534-1-TWE-F-EGG4	266.0	65.0	2.0	245603123.0	282.200055	103.006808	72355010.0	FR	25.0	51.0	75.0	103.0	131.0	161.0	197.0	243.0	325.0	655.0
X221784-GM2211540-1-TWE-F-EGG4_FR	X221784-GM2211540-1-TWE-F-EGG4	241.0	63.0	2.0	246491756.0	258.39206	99.010891	57840139.0	FR	25.0	49.0	75.0	99.0	127.0	155.0	189.0	231.0	313.0	627.0
X221785-GM2211538-1-TWE-M-EGG4_FR	X221785-GM2211538-1-TWE-M-EGG4	238.0	63.0	2.0	245474606.0	255.954704	99.964846	52352581.0	FR	25.0	51.0	75.0	101.0	127.0	157.0	191.0	233.0	317.0	635.0
X221786-GM2211695-1-TWE-M-EGG4_FR	X221786-GM2211695-1-TWE-M-EGG4	241.0	66.0	2.0	248760642.0	259.60223	103.302595	61598068.0	FR	27.0	53.0	79.0	105.0	133.0	163.0	197.0	241.0	327.0	655.0
X221787-GM2211536-1-TWE-M-EGG4_FR	X221787-GM2211536-1-TWE-M-EGG4	234.0	64.0	2.0	243082257.0	251.829367	100.071003	54908912.0	FR	25.0	51.0	77.0	103.0	129.0	159.0	193.0	235.0	317.0	627.0
X221789-GM2211405-1-TWE-F-EGG4_FR	X221789-GM2211405-1-TWE-F-EGG4	240.0	68.0	2.0	245273946.0	258.891835	105.966162	59917593.0	FR	27.0	53.0	81.0	107.0	137.0	167.0	203.0	249.0	335.0	669.0
X221793-GM2211541-1-TWE-F-EGG4_FR	X221793-GM2211541-1-TWE-F-EGG4	249.0	66.0	2.0	242551272.0	267.659219	104.202215	47476395.0	FR	27.0	51.0	77.0	105.0	133.0	163.0	197.0	243.0	329.0	665.0
X221803-GM2210530-1-TWE-F-EGG4_FR	X221803-GM2210530-1-TWE-F-EGG4	246.0	69.0	2.0	245887839.0	264.231719	106.905876	56276598.0	FR	27.0	55.0	81.0	109.0	139.0	169.0	205.0	249.0	335.0	675.0
X221809-GM2211489-1-TWE-M-EGG4_FR	X221809-GM2211489-1-TWE-M-EGG4	240.0	65.0	2.0	234842739.0	258.236022	101.964783	23557522.0	FR	27.0	51.0	77.0	103.0	131.0	161.0	195.0	237.0	323.0	647.0
X221837-GM1911053-1-TWE-F-EGG4_FR	X221837-GM1911053-1-TWE-F-EGG4	249.0	68.0	2.0	245068963.0	266.909527	105.655822	66503275.0	FR	27.0	53.0	81.0	107.0	137.0	167.0	203.0	247.0	333.0	665.0
