Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
X221313-GM2210301-1-TWE-M-EGG4_S35_L002_R2	X221313-GM2210301-1-TWE-M-EGG4_S35_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	28036664.0	0.0	35-151	50.0	86.93135165550116	148.66834096239126	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221314-GM2210291-1-TWE-F-EGG4_S34_L001_R1	X221314-GM2210291-1-TWE-F-EGG4_S34_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	30218857.0	0.0	35-151	50.0	85.28231128062666	148.42154158908127	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221314-GM2210291-1-TWE-F-EGG4_S34_L001_R2	X221314-GM2210291-1-TWE-F-EGG4_S34_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	30218857.0	0.0	35-151	50.0	86.28303169071853	148.40957555078936	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221314-GM2210291-1-TWE-F-EGG4_S34_L002_R1	X221314-GM2210291-1-TWE-F-EGG4_S34_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	30463234.0	0.0	35-151	50.0	85.54059828171617	148.43504570131984	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221314-GM2210291-1-TWE-F-EGG4_S34_L002_R2	X221314-GM2210291-1-TWE-F-EGG4_S34_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	30463234.0	0.0	35-151	50.0	86.38564606765476	148.4249398143349	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221316-GM2210566-1-TWE-M-EGG4_S3_L001_R1	X221316-GM2210566-1-TWE-M-EGG4_S3_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	36024271.0	0.0	35-151	51.0	83.04534689464037	144.44260043457922	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X221316-GM2210566-1-TWE-M-EGG4_S3_L001_R2	X221316-GM2210566-1-TWE-M-EGG4_S3_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	36024271.0	0.0	35-151	51.0	83.53357949374352	144.4348554062343	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X221316-GM2210566-1-TWE-M-EGG4_S3_L002_R1	X221316-GM2210566-1-TWE-M-EGG4_S3_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	36267311.0	0.0	35-151	51.0	83.2849088845988	144.4516082816286	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X221316-GM2210566-1-TWE-M-EGG4_S3_L002_R2	X221316-GM2210566-1-TWE-M-EGG4_S3_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	36267311.0	0.0	35-151	51.0	83.78044139574186	144.44640773064208	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X221337-GM2210142-1-TWE-M-EGG4_S30_L001_R1	X221337-GM2210142-1-TWE-M-EGG4_S30_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	40175259.0	0.0	35-151	51.0	81.99269087772373	148.14731073668997	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X221337-GM2210142-1-TWE-M-EGG4_S30_L001_R2	X221337-GM2210142-1-TWE-M-EGG4_S30_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	40175259.0	0.0	35-151	51.0	82.92243130861688	148.13820592917645	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X221337-GM2210142-1-TWE-M-EGG4_S30_L002_R1	X221337-GM2210142-1-TWE-M-EGG4_S30_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	40474962.0	0.0	35-151	51.0	82.11046592158809	148.16645154601997	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
