Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
X221442-GM2211584-1-TWE-F-EGG4_S61_L001_R1	X221442-GM2211584-1-TWE-F-EGG4_S61_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	36334820.0	0.0	35-151	52.0	82.38248767025904	148.05175578136894	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
X221442-GM2211584-1-TWE-F-EGG4_S61_L001_R2	X221442-GM2211584-1-TWE-F-EGG4_S61_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	36334820.0	0.0	35-151	52.0	83.33810149484219	148.03857627476893	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
X221442-GM2211584-1-TWE-F-EGG4_S61_L002_R1	X221442-GM2211584-1-TWE-F-EGG4_S61_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	36673490.0	0.0	35-151	52.0	82.34576921068835	148.0767599702128	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
X221442-GM2211584-1-TWE-F-EGG4_S61_L002_R2	X221442-GM2211584-1-TWE-F-EGG4_S61_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	36673490.0	0.0	35-151	53.0	83.19356700300958	148.06489126068993	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
X221768-GM2211585-1-TWE-M-EGG4_S62_L001_R1	X221768-GM2211585-1-TWE-M-EGG4_S62_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	31441252.0	0.0	35-151	50.0	84.84265205467932	147.41601593982327	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X221768-GM2211585-1-TWE-M-EGG4_S62_L001_R2	X221768-GM2211585-1-TWE-M-EGG4_S62_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	31441252.0	0.0	35-151	50.0	85.09866141633631	147.4103480357589	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X221768-GM2211585-1-TWE-M-EGG4_S62_L002_R1	X221768-GM2211585-1-TWE-M-EGG4_S62_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	31661920.0	0.0	35-151	50.0	85.07388172303571	147.42729625998675	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X221768-GM2211585-1-TWE-M-EGG4_S62_L002_R2	X221768-GM2211585-1-TWE-M-EGG4_S62_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	31661920.0	0.0	35-151	51.0	85.6243463195689	147.42268084184408	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X221777-GM2211535-1-TWE-F-EGG4_S54_L001_R1	X221777-GM2211535-1-TWE-F-EGG4_S54_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	41789280.0	0.0	35-151	51.0	81.76769515559151	147.96924349976837	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X221777-GM2211535-1-TWE-F-EGG4_S54_L001_R2	X221777-GM2211535-1-TWE-F-EGG4_S54_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	41789280.0	0.0	35-151	51.0	82.36007520626038	147.95845692962405	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X221777-GM2211535-1-TWE-F-EGG4_S54_L002_R1	X221777-GM2211535-1-TWE-F-EGG4_S54_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	42130205.0	0.0	35-151	51.0	82.13089289501926	147.9868294967945	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X221777-GM2211535-1-TWE-F-EGG4_S54_L002_R2	X221777-GM2211535-1-TWE-F-EGG4_S54_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	42130205.0	0.0	35-151	51.0	82.44111112957859	147.97602717575194	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X221780-GM2211534-1-TWE-F-EGG4_S53_L001_R1	X221780-GM2211534-1-TWE-F-EGG4_S53_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	36663170.0	0.0	35-151	52.0	82.64586615526281	149.3052845130413	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
X221780-GM2211534-1-TWE-F-EGG4_S53_L001_R2	X221780-GM2211534-1-TWE-F-EGG4_S53_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	36663170.0	0.0	35-151	53.0	83.50625630262621	149.2911775222928	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
X221780-GM2211534-1-TWE-F-EGG4_S53_L002_R1	X221780-GM2211534-1-TWE-F-EGG4_S53_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	36968625.0	0.0	35-151	52.0	82.69909801669553	149.31645545378007	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
X221780-GM2211534-1-TWE-F-EGG4_S53_L002_R2	X221780-GM2211534-1-TWE-F-EGG4_S53_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	36968625.0	0.0	35-151	53.0	83.77716842048592	149.3038611254814	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
X221784-GM2211540-1-TWE-F-EGG4_S58_L001_R1	X221784-GM2211540-1-TWE-F-EGG4_S58_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	29262970.0	0.0	35-151	50.0	85.85359566695999	148.16143839808467	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221784-GM2211540-1-TWE-F-EGG4_S58_L001_R2	X221784-GM2211540-1-TWE-F-EGG4_S58_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	29262970.0	0.0	35-151	50.0	86.16299542122978	148.15241552720042	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221784-GM2211540-1-TWE-F-EGG4_S58_L002_R1	X221784-GM2211540-1-TWE-F-EGG4_S58_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	29389860.0	0.0	35-151	50.0	86.22822262393323	148.17741210744114	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221784-GM2211540-1-TWE-F-EGG4_S58_L002_R2	X221784-GM2211540-1-TWE-F-EGG4_S58_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	29389860.0	0.0	35-151	50.0	86.43852696851128	148.1690353407604	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221785-GM2211538-1-TWE-M-EGG4_S57_L001_R1	X221785-GM2211538-1-TWE-M-EGG4_S57_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	26515013.0	0.0	35-151	50.0	86.75486977804636	147.81441227277543	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221785-GM2211538-1-TWE-M-EGG4_S57_L001_R2	X221785-GM2211538-1-TWE-M-EGG4_S57_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	26515013.0	0.0	35-151	50.0	87.30274602269812	147.81011221831193	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221785-GM2211538-1-TWE-M-EGG4_S57_L002_R1	X221785-GM2211538-1-TWE-M-EGG4_S57_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	26725927.0	0.0	35-151	50.0	86.81470485708344	147.83052165038092	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221785-GM2211538-1-TWE-M-EGG4_S57_L002_R2	X221785-GM2211538-1-TWE-M-EGG4_S57_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	26725927.0	0.0	35-151	50.0	87.45183177600124	147.8271248739099	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221786-GM2211695-1-TWE-M-EGG4_S60_L001_R1	X221786-GM2211695-1-TWE-M-EGG4_S60_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	31089350.0	0.0	35-151	50.0	85.12369494347226	147.80034085627392	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221786-GM2211695-1-TWE-M-EGG4_S60_L001_R2	X221786-GM2211695-1-TWE-M-EGG4_S60_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	31089350.0	0.0	35-151	50.0	85.30639270110628	147.76583920217053	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221786-GM2211695-1-TWE-M-EGG4_S60_L002_R1	X221786-GM2211695-1-TWE-M-EGG4_S60_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	31371828.0	0.0	35-151	50.0	85.2282420245286	147.81740244782677	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221786-GM2211695-1-TWE-M-EGG4_S60_L002_R2	X221786-GM2211695-1-TWE-M-EGG4_S60_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	31371828.0	0.0	35-151	50.0	85.61330306090184	147.7842548416369	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221787-GM2211536-1-TWE-M-EGG4_S55_L001_R1	X221787-GM2211536-1-TWE-M-EGG4_S55_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	27713349.0	0.0	35-151	50.0	85.99395134231419	147.2352086353764	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221787-GM2211536-1-TWE-M-EGG4_S55_L001_R2	X221787-GM2211536-1-TWE-M-EGG4_S55_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	27713349.0	0.0	35-151	50.0	86.55060377836234	147.23445282632568	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221787-GM2211536-1-TWE-M-EGG4_S55_L002_R1	X221787-GM2211536-1-TWE-M-EGG4_S55_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	27935815.0	0.0	35-151	50.0	86.13619843999057	147.24687072848957	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221787-GM2211536-1-TWE-M-EGG4_S55_L002_R2	X221787-GM2211536-1-TWE-M-EGG4_S55_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	27935815.0	0.0	35-151	50.0	86.81197963297217	147.24704194239544	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221789-GM2211405-1-TWE-F-EGG4_S47_L001_R1	X221789-GM2211405-1-TWE-F-EGG4_S47_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	30348796.0	0.0	35-151	50.0	85.47561601532516	147.21062074422986	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221789-GM2211405-1-TWE-F-EGG4_S47_L001_R2	X221789-GM2211405-1-TWE-F-EGG4_S47_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	30348796.0	0.0	35-151	50.0	85.9530997584579	147.1989772839753	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221789-GM2211405-1-TWE-F-EGG4_S47_L002_R1	X221789-GM2211405-1-TWE-F-EGG4_S47_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	30433343.0	0.0	35-151	50.0	85.81555965807648	147.21928724688576	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221789-GM2211405-1-TWE-F-EGG4_S47_L002_R2	X221789-GM2211405-1-TWE-F-EGG4_S47_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	30433343.0	0.0	35-151	50.0	86.127291915814	147.20937808245384	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221793-GM2211541-1-TWE-F-EGG4_S59_L001_R1	X221793-GM2211541-1-TWE-F-EGG4_S59_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	24010823.0	0.0	35-151	51.0	87.31717945737375	148.47774309943478	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X221793-GM2211541-1-TWE-F-EGG4_S59_L001_R2	X221793-GM2211541-1-TWE-F-EGG4_S59_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	24010823.0	0.0	35-151	51.0	87.37944919010793	148.46476236986962	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X221793-GM2211541-1-TWE-F-EGG4_S59_L002_R1	X221793-GM2211541-1-TWE-F-EGG4_S59_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	24137939.0	0.0	35-151	51.0	87.51466688500795	148.4973223273122	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X221793-GM2211541-1-TWE-F-EGG4_S59_L002_R2	X221793-GM2211541-1-TWE-F-EGG4_S59_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	24137939.0	0.0	35-151	51.0	87.56282163893195	148.48417224022316	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X221803-GM2210530-1-TWE-F-EGG4_S40_L001_R1	X221803-GM2210530-1-TWE-F-EGG4_S40_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	28488210.0	0.0	35-151	49.0	85.88553099440762	147.7434632783176	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221803-GM2210530-1-TWE-F-EGG4_S40_L001_R2	X221803-GM2210530-1-TWE-F-EGG4_S40_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	28488210.0	0.0	35-151	49.0	86.30893472920705	147.7265439281724	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221803-GM2210530-1-TWE-F-EGG4_S40_L002_R1	X221803-GM2210530-1-TWE-F-EGG4_S40_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	28626450.0	0.0	35-151	49.0	86.07608162033752	147.76106639139678	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221803-GM2210530-1-TWE-F-EGG4_S40_L002_R2	X221803-GM2210530-1-TWE-F-EGG4_S40_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	28626450.0	0.0	35-151	50.0	86.57155156153345	147.7459482751092	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221809-GM2211489-1-TWE-M-EGG4_S49_L001_R1	X221809-GM2211489-1-TWE-M-EGG4_S49_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	11900833.0	0.0	35-151	50.0	90.72317662523095	147.82036921281056	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221809-GM2211489-1-TWE-M-EGG4_S49_L001_R2	X221809-GM2211489-1-TWE-M-EGG4_S49_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	11900833.0	0.0	35-151	50.0	91.0298446217442	147.8087763268336	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221809-GM2211489-1-TWE-M-EGG4_S49_L002_R1	X221809-GM2211489-1-TWE-M-EGG4_S49_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	11994079.0	0.0	35-151	50.0	91.02459719300131	147.83845845937816	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221809-GM2211489-1-TWE-M-EGG4_S49_L002_R2	X221809-GM2211489-1-TWE-M-EGG4_S49_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	11994079.0	0.0	35-151	50.0	91.21757608844717	147.8272134942583	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221837-GM1911053-1-TWE-F-EGG4_S28_L001_R1	X221837-GM1911053-1-TWE-F-EGG4_S28_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	33564037.0	0.0	35-151	49.0	84.4796742667257	148.1421306978061	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221837-GM1911053-1-TWE-F-EGG4_S28_L001_R2	X221837-GM1911053-1-TWE-F-EGG4_S28_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	33564037.0	0.0	35-151	49.0	85.42346015573801	148.13915831996013	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221837-GM1911053-1-TWE-F-EGG4_S28_L002_R1	X221837-GM1911053-1-TWE-F-EGG4_S28_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	33781916.0	0.0	35-151	49.0	84.50272095615462	148.1575839570497	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221837-GM1911053-1-TWE-F-EGG4_S28_L002_R2	X221837-GM1911053-1-TWE-F-EGG4_S28_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	33781916.0	0.0	35-151	49.0	85.53215781959037	148.1564785135337	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221857-GM2211189-1-TWE-F-EGG4_S41_L001_R1	X221857-GM2211189-1-TWE-F-EGG4_S41_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	33812664.0	0.0	35-151	52.0	83.91957896011272	147.51551341828613	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
X221857-GM2211189-1-TWE-F-EGG4_S41_L001_R2	X221857-GM2211189-1-TWE-F-EGG4_S41_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	33812664.0	0.0	35-151	53.0	84.37175142105515	147.49325075362296	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
X221857-GM2211189-1-TWE-F-EGG4_S41_L002_R1	X221857-GM2211189-1-TWE-F-EGG4_S41_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	34080731.0	0.0	35-151	53.0	84.16210061404782	147.53691383556298	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
X221857-GM2211189-1-TWE-F-EGG4_S41_L002_R2	X221857-GM2211189-1-TWE-F-EGG4_S41_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	34080731.0	0.0	35-151	53.0	84.62619163773269	147.51618088825617	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
X221878-GM2211537-1-TWE-M-EGG4_S56_L001_R1	X221878-GM2211537-1-TWE-M-EGG4_S56_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	26681750.0	0.0	35-151	50.0	86.85130014932592	147.16273542777367	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221878-GM2211537-1-TWE-M-EGG4_S56_L001_R2	X221878-GM2211537-1-TWE-M-EGG4_S56_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	26681750.0	0.0	35-151	50.0	87.34464423135388	147.14644073196098	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221878-GM2211537-1-TWE-M-EGG4_S56_L002_R1	X221878-GM2211537-1-TWE-M-EGG4_S56_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	26479914.0	0.0	35-151	50.0	87.15952893867713	147.16676289054413	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221878-GM2211537-1-TWE-M-EGG4_S56_L002_R2	X221878-GM2211537-1-TWE-M-EGG4_S56_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	26479914.0	0.0	35-151	50.0	87.55808360385858	147.15298527782227	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221912-GM2210738-1-TWE-M-EGG4_S38_L001_R1	X221912-GM2210738-1-TWE-M-EGG4_S38_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	26151799.0	0.0	35-151	50.0	86.88377964197994	148.38873757786223	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221912-GM2210738-1-TWE-M-EGG4_S38_L001_R2	X221912-GM2210738-1-TWE-M-EGG4_S38_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	26151799.0	0.0	35-151	50.0	87.30405019284528	148.38021544904043	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221912-GM2210738-1-TWE-M-EGG4_S38_L002_R1	X221912-GM2210738-1-TWE-M-EGG4_S38_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	26326752.0	0.0	35-151	50.0	87.03324677456636	148.39808875777763	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X221912-GM2210738-1-TWE-M-EGG4_S38_L002_R2	X221912-GM2210738-1-TWE-M-EGG4_S38_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	26326752.0	0.0	35-151	50.0	87.32893019143506	148.3900853018253	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X222001-GM2211415-1-TWE-M-EGG4_S52_L001_R1	X222001-GM2211415-1-TWE-M-EGG4_S52_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	38935953.0	0.0	35-151	49.0	83.46127841728537	148.75220318865703	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X222001-GM2211415-1-TWE-M-EGG4_S52_L001_R2	X222001-GM2211415-1-TWE-M-EGG4_S52_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	38935953.0	0.0	35-151	49.0	84.52241698103477	148.74441152114602	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X222001-GM2211415-1-TWE-M-EGG4_S52_L002_R1	X222001-GM2211415-1-TWE-M-EGG4_S52_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	39171789.0	0.0	35-151	49.0	83.610568587258	148.7653060726943	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X222001-GM2211415-1-TWE-M-EGG4_S52_L002_R2	X222001-GM2211415-1-TWE-M-EGG4_S52_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	39171789.0	0.0	35-151	50.0	84.64082154425662	148.75960112518732	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X222348-GM2216585-1-TWE-M-EGG4_S4_L001_R1	X222348-GM2216585-1-TWE-M-EGG4_S4_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	19517734.0	0.0	35-151	52.0	87.05366496909166	147.5983072112777	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
X222348-GM2216585-1-TWE-M-EGG4_S4_L001_R2	X222348-GM2216585-1-TWE-M-EGG4_S4_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	19517734.0	0.0	35-151	52.0	87.46475502810048	147.58612787734478	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
X222348-GM2216585-1-TWE-M-EGG4_S4_L002_R1	X222348-GM2216585-1-TWE-M-EGG4_S4_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	19594842.0	0.0	35-151	52.0	87.43557964442455	147.60950871663064	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X222348-GM2216585-1-TWE-M-EGG4_S4_L002_R2	X222348-GM2216585-1-TWE-M-EGG4_S4_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	19594842.0	0.0	35-151	52.0	87.94104213014529	147.59927719754003	pass	pass	pass	pass	fail	fail	pass	warn	pass	pass	pass
X223122-gm2221969-1-TWE-F-EGG4_S8_L001_R1	X223122-gm2221969-1-TWE-F-EGG4_S8_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	32679783.0	0.0	35-151	50.0	85.17487387987845	145.1901211828732	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X223122-gm2221969-1-TWE-F-EGG4_S8_L001_R2	X223122-gm2221969-1-TWE-F-EGG4_S8_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	32679783.0	0.0	35-151	50.0	85.19783829537462	145.16999363184266	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X223122-gm2221969-1-TWE-F-EGG4_S8_L002_R1	X223122-gm2221969-1-TWE-F-EGG4_S8_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	33066581.0	0.0	35-151	50.0	85.27455843184141	145.21890052678867	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X223122-gm2221969-1-TWE-F-EGG4_S8_L002_R2	X223122-gm2221969-1-TWE-F-EGG4_S8_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	33066581.0	0.0	35-151	50.0	85.30852675125146	145.19944224049047	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X223375-GM2224964-1-TWE-M-EGG4_S9_L001_R1	X223375-GM2224964-1-TWE-M-EGG4_S9_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	38854947.0	0.0	35-151	51.0	82.61525841239464	147.06667907692682	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X223375-GM2224964-1-TWE-M-EGG4_S9_L001_R2	X223375-GM2224964-1-TWE-M-EGG4_S9_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	38854947.0	0.0	35-151	51.0	83.35076136986378	147.05363752008208	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X223375-GM2224964-1-TWE-M-EGG4_S9_L002_R1	X223375-GM2224964-1-TWE-M-EGG4_S9_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	39232709.0	0.0	35-151	51.0	82.71181621482735	147.0946876240435	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X223375-GM2224964-1-TWE-M-EGG4_S9_L002_R2	X223375-GM2224964-1-TWE-M-EGG4_S9_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	39232709.0	0.0	35-151	51.0	83.35039714052984	147.0826919955999	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
X223509-GM2225620-1-TWE-F-EGG4_S10_L001_R1	X223509-GM2225620-1-TWE-F-EGG4_S10_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	34552549.0	0.0	35-151	50.0	84.52262002605372	146.61426915276206	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X223509-GM2225620-1-TWE-F-EGG4_S10_L001_R2	X223509-GM2225620-1-TWE-F-EGG4_S10_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	34552549.0	0.0	35-151	50.0	84.70647969302449	146.59131831344772	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X223509-GM2225620-1-TWE-F-EGG4_S10_L002_R1	X223509-GM2225620-1-TWE-F-EGG4_S10_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	34713348.0	0.0	35-151	50.0	84.88576165243352	146.6288159528721	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X223509-GM2225620-1-TWE-F-EGG4_S10_L002_R2	X223509-GM2225620-1-TWE-F-EGG4_S10_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	34713348.0	0.0	35-151	50.0	84.77837919213438	146.6085219725853	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X223925-GM2228346-1-TWE-M-EGG4_S12_L001_R1	X223925-GM2228346-1-TWE-M-EGG4_S12_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	31042046.0	0.0	35-151	50.0	85.40538925349726	146.65992631413536	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X223925-GM2228346-1-TWE-M-EGG4_S12_L001_R2	X223925-GM2228346-1-TWE-M-EGG4_S12_L001_R2_001	Conventional base calls	Sanger / Illumina 1.9	31042046.0	0.0	35-151	50.0	86.2361934349924	146.66427580192362	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X223925-GM2228346-1-TWE-M-EGG4_S12_L002_R1	X223925-GM2228346-1-TWE-M-EGG4_S12_L002_R1_001	Conventional base calls	Sanger / Illumina 1.9	31251488.0	0.0	35-151	50.0	85.42242153836305	146.6701058842382	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X223925-GM2228346-1-TWE-M-EGG4_S12_L002_R2	X223925-GM2228346-1-TWE-M-EGG4_S12_L002_R2_001	Conventional base calls	Sanger / Illumina 1.9	31251488.0	0.0	35-151	50.0	86.4313728152647	146.67590458412732	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
X223974-GM2205007-1-TWE-F-EGG4_S2_L001_R1	X223974-GM2205007-1-TWE-F-EGG4_S2_L001_R1_001	Conventional base calls	Sanger / Illumina 1.9	37516920.0	0.0	35-151	52.0	82.65075965832844	145.80426093080135	pass	pass	pass	pass	fail	warn	pass	warn	pass	pass	pass
